ImageID,"(T_A, T_B)",optA_img,optB_img,true_img,baseline_img,humanChoice,rejectionChoice
0,"(np.float64(0.3862087586055609), np.float64(0.8811541068665437))",DPO_dataset/Img_A/A_0.png,DPO_dataset/Img_B/B_0.png,DPO_dataset/Img_true/Real_0.png,DPO_dataset/Img_baseline/Baseline_0.png,,
1,"(np.float64(0.29168722324909263), np.float64(0.7999517551307871))",DPO_dataset/Img_A/A_1.png,DPO_dataset/Img_B/B_1.png,DPO_dataset/Img_true/Real_1.png,DPO_dataset/Img_baseline/Baseline_1.png,DPO_dataset/Img_B/B_1.png,DPO_dataset/Img_A/A_1.png
2,"(np.float64(0.250833915084797), np.float64(0.7850769111822482))",DPO_dataset/Img_A/A_2.png,DPO_dataset/Img_B/B_2.png,DPO_dataset/Img_true/Real_2.png,DPO_dataset/Img_baseline/Baseline_2.png,,
3,"(np.float64(0.36056603902615647), np.float64(0.8500233181775163))",DPO_dataset/Img_A/A_3.png,DPO_dataset/Img_B/B_3.png,DPO_dataset/Img_true/Real_3.png,DPO_dataset/Img_baseline/Baseline_3.png,,
4,"(np.float64(0.4559881344030133), np.float64(0.8296494207206447))",DPO_dataset/Img_A/A_4.png,DPO_dataset/Img_B/B_4.png,DPO_dataset/Img_true/Real_4.png,DPO_dataset/Img_baseline/Baseline_4.png,DPO_dataset/Img_B/B_4.png,DPO_dataset/Img_A/A_4.png
5,"(np.float64(0.34151985817372255), np.float64(0.860054938083302))",DPO_dataset/Img_A/A_5.png,DPO_dataset/Img_B/B_5.png,DPO_dataset/Img_true/Real_5.png,DPO_dataset/Img_baseline/Baseline_5.png,,
6,"(np.float64(0.4862326521250368), np.float64(0.7525767163224627))",DPO_dataset/Img_A/A_6.png,DPO_dataset/Img_B/B_6.png,DPO_dataset/Img_true/Real_6.png,DPO_dataset/Img_baseline/Baseline_6.png,DPO_dataset/Img_A/A_6.png,DPO_dataset/Img_B/B_6.png
7,"(np.float64(0.46609127670958556), np.float64(0.7369373834320225))",DPO_dataset/Img_A/A_7.png,DPO_dataset/Img_B/B_7.png,DPO_dataset/Img_true/Real_7.png,DPO_dataset/Img_baseline/Baseline_7.png,,
8,"(np.float64(0.36231013336496914), np.float64(0.6688696729622294))",DPO_dataset/Img_A/A_8.png,DPO_dataset/Img_B/B_8.png,DPO_dataset/Img_true/Real_8.png,DPO_dataset/Img_baseline/Baseline_8.png,,
9,"(np.float64(0.37372288891710964), np.float64(0.7704624545046865))",DPO_dataset/Img_A/A_9.png,DPO_dataset/Img_B/B_9.png,DPO_dataset/Img_true/Real_9.png,DPO_dataset/Img_baseline/Baseline_9.png,,
10,"(np.float64(0.3821918105847003), np.float64(0.8843638543745511))",DPO_dataset/Img_A/A_10.png,DPO_dataset/Img_B/B_10.png,DPO_dataset/Img_true/Real_10.png,DPO_dataset/Img_baseline/Baseline_10.png,,
11,"(np.float64(0.1404811909612029), np.float64(0.7744760179573202))",DPO_dataset/Img_A/A_11.png,DPO_dataset/Img_B/B_11.png,DPO_dataset/Img_true/Real_11.png,DPO_dataset/Img_baseline/Baseline_11.png,,
12,"(np.float64(0.301905275593956), np.float64(0.81713477007405))",DPO_dataset/Img_A/A_12.png,DPO_dataset/Img_B/B_12.png,DPO_dataset/Img_true/Real_12.png,DPO_dataset/Img_baseline/Baseline_12.png,,
13,"(np.float64(0.4197744250464728), np.float64(0.6542739450747097))",DPO_dataset/Img_A/A_13.png,DPO_dataset/Img_B/B_13.png,DPO_dataset/Img_true/Real_13.png,DPO_dataset/Img_baseline/Baseline_13.png,DPO_dataset/Img_B/B_13.png,DPO_dataset/Img_B/B_13.png
14,"(np.float64(0.2834339902773598), np.float64(0.7553228666983806))",DPO_dataset/Img_A/A_14.png,DPO_dataset/Img_B/B_14.png,DPO_dataset/Img_true/Real_14.png,DPO_dataset/Img_baseline/Baseline_14.png,,
15,"(np.float64(0.2294708296371551), np.float64(0.6972213472908442))",DPO_dataset/Img_A/A_15.png,DPO_dataset/Img_B/B_15.png,DPO_dataset/Img_true/Real_15.png,DPO_dataset/Img_baseline/Baseline_15.png,DPO_dataset/Img_B/B_15.png,DPO_dataset/Img_B/B_15.png
16,"(np.float64(0.2491203767163731), np.float64(0.7991681350771503))",DPO_dataset/Img_A/A_16.png,DPO_dataset/Img_B/B_16.png,DPO_dataset/Img_true/Real_16.png,DPO_dataset/Img_baseline/Baseline_16.png,,
17,"(np.float64(0.3076092096728252), np.float64(0.7245056208874137))",DPO_dataset/Img_A/A_17.png,DPO_dataset/Img_B/B_17.png,DPO_dataset/Img_true/Real_17.png,DPO_dataset/Img_baseline/Baseline_17.png,DPO_dataset/Img_A/A_17.png,DPO_dataset/Img_A/A_17.png
18,"(np.float64(0.40240886248584923), np.float64(0.8130386090397884))",DPO_dataset/Img_A/A_18.png,DPO_dataset/Img_B/B_18.png,DPO_dataset/Img_true/Real_18.png,DPO_dataset/Img_baseline/Baseline_18.png,DPO_dataset/Img_A/A_18.png,DPO_dataset/Img_B/B_18.png
19,"(np.float64(0.3207953568785516), np.float64(0.7326337531787829))",DPO_dataset/Img_A/A_19.png,DPO_dataset/Img_B/B_19.png,DPO_dataset/Img_true/Real_19.png,DPO_dataset/Img_baseline/Baseline_19.png,,
20,"(np.float64(0.26930026110541383), np.float64(0.8640953724266773))",DPO_dataset/Img_A/A_20.png,DPO_dataset/Img_B/B_20.png,DPO_dataset/Img_true/Real_20.png,DPO_dataset/Img_baseline/Baseline_20.png,DPO_dataset/Img_A/A_20.png,DPO_dataset/Img_A/A_20.png
21,"(np.float64(0.3399397624847701), np.float64(0.7927911869894516))",DPO_dataset/Img_A/A_21.png,DPO_dataset/Img_B/B_21.png,DPO_dataset/Img_true/Real_21.png,DPO_dataset/Img_baseline/Baseline_21.png,DPO_dataset/Img_B/B_21.png,DPO_dataset/Img_B/B_21.png
22,"(np.float64(0.30871604901473426), np.float64(0.7833512674789788))",DPO_dataset/Img_A/A_22.png,DPO_dataset/Img_B/B_22.png,DPO_dataset/Img_true/Real_22.png,DPO_dataset/Img_baseline/Baseline_22.png,,
23,"(np.float64(0.19446145070912604), np.float64(0.8145316561330065))",DPO_dataset/Img_A/A_23.png,DPO_dataset/Img_B/B_23.png,DPO_dataset/Img_true/Real_23.png,DPO_dataset/Img_baseline/Baseline_23.png,DPO_dataset/Img_B/B_23.png,DPO_dataset/Img_A/A_23.png
24,"(np.float64(0.3230068173056589), np.float64(1.0))",DPO_dataset/Img_A/A_24.png,DPO_dataset/Img_B/B_24.png,DPO_dataset/Img_true/Real_24.png,DPO_dataset/Img_baseline/Baseline_24.png,DPO_dataset/Img_A/A_24.png,DPO_dataset/Img_A/A_24.png
25,"(np.float64(0.32822058902830425), np.float64(0.9154757733729688))",DPO_dataset/Img_A/A_25.png,DPO_dataset/Img_B/B_25.png,DPO_dataset/Img_true/Real_25.png,DPO_dataset/Img_baseline/Baseline_25.png,,
